job_id,num_resume,predict_id,ndcg@1,ndcg@3,ndcg@5,ndcg@7,ndcg@10,ndcg@20,ndcg@50
5119,897,352,0,0,0,0,0,0,0
5120,897,244,0,0,0,0,0,0,0
5121,897,31,0,0,0,0,0,0,0.2
5123,897,92,0,0,0,0,0,0,0
5124,897,138,0,0,0,0,0,0,0
5125,897,122,0,0,0,0,0,0,0
5127,897,14,0,0,0,0,0,0.2559580248098155,0.2559580248098155
5128,897,207,0,0,0,0,0,0,0
5129,897,6,0,0,0,0.3562071871080222,0.3562071871080222,0.3562071871080222,0.3562071871080222
5131,897,6,0,0,0,0.3562071871080222,0.3562071871080222,0.3562071871080222,0.3562071871080222
5132,897,310,0,0,0,0,0,0,0
5133,897,704,0,0,0,0,0,0,0
5134,897,21,0,0,0,0,0,0,0.22424382421757544
5135,897,-1,0,0,0,0,0,0,0
5138,897,191,0,0,0,0,0,0,0
5139,897,33,0,0,0,0,0,0,0.1965616322328226
5140,897,3,0,0.5,0.5,0.5,0.5,0.5,0.5
5141,897,220,0,0,0,0,0,0,0
5143,897,290,0,0,0,0,0,0,0
5144,897,72,0,0,0,0,0,0,0
5145,897,12,0,0,0,0,0,0.27023815442731974,0.27023815442731974
5146,897,172,0,0,0,0,0,0,0
5147,897,11,0,0,0,0,0,0.27894294565112987,0.27894294565112987
5151,897,240,0,0,0,0,0,0,0
5152,897,17,0,0,0,0,0,0.23981246656813146,0.23981246656813146
5153,897,246,0,0,0,0,0,0,0
5154,897,349,0,0,0,0,0,0,0
5156,897,12,0,0,0,0,0,0.27023815442731974,0.27023815442731974
5157,897,656,0,0,0,0,0,0,0
5158,897,46,0,0,0,0,0,0,0.18003132665669264
5159,897,255,0,0,0,0,0,0,0
5161,897,151,0,0,0,0,0,0,0
5162,897,6,0,0,0,0.3562071871080222,0.3562071871080222,0.3562071871080222,0.3562071871080222
5164,897,63,0,0,0,0,0,0,0
5165,897,127,0,0,0,0,0,0,0
5166,897,308,0,0,0,0,0,0,0
5168,897,462,0,0,0,0,0,0,0
5170,897,477,0,0,0,0,0,0,0
5171,897,229,0,0,0,0,0,0,0
5172,897,45,0,0,0,0,0,0,0.1810425967800402
5173,897,29,0,0,0,0,0,0,0.2037950470905062
5174,897,32,0,0,0,0,0,0,0.19823986317056053
5175,897,256,0,0,0,0,0,0,0
5176,860,458,0,0,0,0,0,0,0
5177,897,45,0,0,0,0,0,0,0.1810425967800402
5178,897,330,0,0,0,0,0,0,0
5179,897,59,0,0,0,0,0,0,0
5180,897,487,0,0,0,0,0,0,0
5181,897,126,0,0,0,0,0,0,0
5182,897,530,0,0,0,0,0,0,0
5183,897,325,0,0,0,0,0,0,0
5184,897,89,0,0,0,0,0,0,0
5185,897,127,0,0,0,0,0,0,0
5186,897,258,0,0,0,0,0,0,0
5187,897,149,0,0,0,0,0,0,0
5189,897,22,0,0,0,0,0,0,0.22106472945750374
5190,897,600,0,0,0,0,0,0,0
5191,897,-1,0,0,0,0,0,0,0
5192,897,13,0,0,0,0,0,0.26264953503719357,0.26264953503719357
5194,897,399,0,0,0,0,0,0,0
5195,897,242,0,0,0,0,0,0,0
5196,897,52,0,0,0,0,0,0,0
5197,897,71,0,0,0,0,0,0,0
5198,897,104,0,0,0,0,0,0,0
5199,897,8,0,0,0,0,0.31546487678572877,0.31546487678572877,0.31546487678572877
5200,897,18,0,0,0,0,0,0.23540891336663824,0.23540891336663824
5201,897,111,0,0,0,0,0,0,0
5202,897,99,0,0,0,0,0,0,0
5203,897,270,0,0,0,0,0,0,0
5204,897,47,0,0,0,0,0,0,0.17905223175104137
5205,897,86,0,0,0,0,0,0,0
5206,897,41,0,0,0,0,0,0,0.1854490234153689
5207,897,-1,0,0,0,0,0,0,0
5208,897,178,0,0,0,0,0,0,0
5209,897,213,0,0,0,0,0,0,0
5210,897,206,0,0,0,0,0,0,0
5214,897,376,0,0,0,0,0,0,0
5215,897,630,0,0,0,0,0,0,0
5216,897,58,0,0,0,0,0,0,0
5217,897,3,0,0.5,0.5,0.5,0.5,0.5,0.5
5218,897,56,0,0,0,0,0,0,0
5219,897,86,0,0,0,0,0,0,0
5220,897,66,0,0,0,0,0,0,0
5221,897,26,0,0,0,0,0,0,0.2103099178571525
5222,897,298,0,0,0,0,0,0,0
5223,897,95,0,0,0,0,0,0,0
5225,897,299,0,0,0,0,0,0,0
5226,897,18,0,0,0,0,0,0.23540891336663824,0.23540891336663824
5228,897,7,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
5229,896,101,0,0,0,0,0,0,0
5230,897,39,0,0,0,0,0,0,0.18790182470910757
5231,897,189,0,0,0,0,0,0,0
5232,897,241,0,0,0,0,0,0,0
5233,897,247,0,0,0,0,0,0,0
5235,897,45,0,0,0,0,0,0,0.1810425967800402
5236,897,118,0,0,0,0,0,0,0
5237,897,85,0,0,0,0,0,0,0
5238,897,375,0,0,0,0,0,0,0
5240,897,48,0,0,0,0,0,0,0.1781035935540111
5241,897,51,0,0,0,0,0,0,0
5242,897,72,0,0,0,0,0,0,0
5244,897,651,0,0,0,0,0,0,0
5246,897,4,0,0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
5247,897,540,0,0,0,0,0,0,0
5248,897,16,0,0,0,0,0,0.24465054211822604,0.24465054211822604
5249,897,409,0,0,0,0,0,0,0
5250,897,536,0,0,0,0,0,0,0
5251,897,119,0,0,0,0,0,0,0
5253,897,40,0,0,0,0,0,0,0.18665241123894338
5254,897,237,0,0,0,0,0,0,0
5255,897,293,0,0,0,0,0,0,0
5256,897,551,0,0,0,0,0,0,0
5257,897,280,0,0,0,0,0,0,0
5259,897,104,0,0,0,0,0,0,0
5260,897,870,0,0,0,0,0,0,0
5261,897,66,0,0,0,0,0,0,0
